Date,Open,High,Low,Close,Adj Close,Volume,Day
7/14/2014,181.199997,181.410004,181.020004,181.160004,152.840683,493100,92
7/15/2014,181.25,181.630005,180.059998,180.850006,152.579117,1207000,93
7/16/2014,181.649994,181.759995,181.009995,181.539993,153.161255,539400,94
7/17/2014,180.960007,181.619995,179.190002,179.410004,151.364227,1103900,95
7/18/2014,180.020004,181.440002,179.940002,181.300003,152.958771,571500,96
7/21/2014,180.710007,181.080002,180.130005,180.910004,152.629761,866000,97
7/22/2014,181.580002,182.039993,181.419998,181.720001,153.313126,1509500,98
7/23/2014,182,182.320007,181.639999,182.149994,153.675903,750900,99
7/24/2014,182.360001,182.5,181.970001,182.149994,153.675903,535800,100
7/25/2014,181.649994,181.770004,180.940002,181.279999,152.941879,635700,101
7/28/2014,181.350006,181.600006,180.279999,181.360001,153.009415,485700,102
7/29/2014,181.699997,181.889999,180.570007,180.589996,152.359741,639000,103
7/30/2014,181.220001,181.440002,179.860001,180.589996,152.359741,1128500,104
7/31/2014,179.350006,179.5,176.960007,176.960007,149.29718,2430500,105
8/1/2014,176.520004,177.619995,175.649994,176.529999,148.934448,3398000,106
8/4/2014,176.809998,178.110001,176.070007,177.770004,149.980545,2212000,107
8/5/2014,177.039993,177.479996,175.399994,175.970001,148.46196,1251300,108
8/6/2014,175.199997,176.820007,175.179993,176.080002,148.554749,1185800,109
8/7/2014,176.899994,177.039993,174.699997,175.130005,147.753311,1527100,110
8/8/2014,175.490005,177.270004,175.100006,177.160004,149.465942,1209900,111
8/11/2014,177.869995,178.470001,177.610001,177.660004,149.887711,1191200,112
8/12/2014,177.470001,177.990005,176.899994,177.449997,149.710587,513900,113
8/13/2014,178.149994,178.830002,177.869995,178.699997,150.765244,781600,114
8/14/2014,178.919998,179.479996,178.770004,179.479996,151.423325,842000,115
8/15/2014,180.149994,180.300003,178.179993,179.429993,151.381119,1694300,116
8/18/2014,180.460007,181.029999,180.339996,180.919998,152.638168,1039100,117
8/19/2014,181.399994,182.029999,181.229996,181.880005,153.448029,583000,118
8/20/2014,181.660004,182.610001,181.649994,182.380005,153.869949,1507800,119
8/21/2014,182.580002,183.169998,182.419998,182.899994,154.30864,756600,120
8/22/2014,182.800003,183.089996,182.240005,182.610001,154.064026,656500,121
8/25/2014,183.539993,183.860001,183.270004,183.559998,154.865494,1097200,122
8/26/2014,183.720001,184.169998,183.649994,183.710007,154.99205,749500,123
8/27/2014,183.809998,183.899994,183.339996,183.679993,154.966736,602600,124
8/28/2014,183.020004,183.619995,182.850006,183.539993,154.848587,447700,125
8/29/2014,183.830002,184.059998,183.229996,183.990005,155.228287,617200,126
9/2/2014,184.300003,184.300003,183.270004,183.940002,155.186111,553800,127
9/3/2014,184.649994,184.679993,183.589996,183.860001,155.118576,627600,128
9/4/2014,184.119995,184.820007,183.100006,183.559998,154.865494,536700,129
9/5/2014,183.529999,184.470001,182.880005,184.440002,155.607925,502300,130
9/8/2014,184.240005,184.460007,183.399994,183.970001,155.211456,635900,131
9/9/2014,183.789993,183.880005,182.410004,182.779999,154.207458,515300,132
9/10/2014,182.889999,183.550003,182.270004,183.5,154.814804,849800,133
9/11/2014,182.75,183.699997,182.610001,183.669998,154.958298,525700,134
